"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta_pred[103]",1.60819101323682,0.00537168821279468,0.503375117494918,0.637985827257119,1.26545629008699,1.60712612469235,1.94136596920121,2.60174445793753,8781.36226315256,0.999760189227058
"theta_pred[104]",1.60464086546081,0.00543103617221528,0.508216428656297,0.624739441987332,1.25892882693664,1.60359601561442,1.94103293426081,2.60728332169184,8756.5293833755,0.999760480854486
"theta_pred[105]",1.6010907176848,0.00549051280851915,0.513067191493054,0.610087095834599,1.25157256993675,1.59938010210427,1.94107036124503,2.61384264743573,8732.1798186055,0.999760794849014
"theta_pred[106]",1.59754056990878,0.00555011398452714,0.517927140439899,0.597828120693087,1.24486814448007,1.59590082231538,1.94033156004838,2.61986734976528,8708.30305007933,0.99976112977281
"theta_pred[107]",1.59399042213277,0.0056098357304103,0.522796019312697,0.584297762519001,1.23748420297985,1.59300983248805,1.93962323527662,2.62665320426799,8684.88867075315,0.999761484266893
"theta_pred[108]",1.59044027435676,0.00566967423575211,0.527673580920464,0.570517243083076,1.23106316600789,1.58961380655231,1.93922815886463,2.63414626920766,8661.92640125024,0.9997618570468
"theta_pred[109]",1.58689012658074,0.00572962584202988,0.53255958669516,0.557557745443154,1.22415334120639,1.58606337383253,1.93862673957354,2.63994966977326,8639.406103385,0.999762246898489
"theta_pred[110]",1.58333997880473,0.00578968703549181,0.537453806338447,0.545860130362984,1.21810410494728,1.58222255179879,1.93709880891792,2.64700704557219,8617.31779152902,0.999762652674471
"theta_pred[111]",1.57978983102872,0.00584985444040756,0.542356017484568,0.532822218251804,1.21200011270897,1.57918494684855,1.9367738301519,2.65530816070604,8595.65164205806,0.999763073290159
"theta_pred[112]",1.5762396832527,0.00591012481267158,0.547266005378581,0.51913192309765,1.20509443082622,1.57556972075776,1.93664689085175,2.66111760537795,8574.3980010945,0.999763507720414
"theta_pred[113]",1.57268953547669,0.0059704950337392,0.552183562569195,0.506229042377165,1.19914418019173,1.57199792070174,1.936160530546,2.66673278991168,8553.54739073882,0.99976395499629
"theta_pred[114]",1.56913938770068,0.00603096210487716,0.55710848861551,0.493583582709365,1.19238645553068,1.56845329344663,1.93537366876465,2.6743335115798,8533.09051396279,0.999764414201952
"theta_pred[115]",1.56558923992467,0.00609152314171082,0.562040589806982,0.480964410984253,1.18552693224626,1.56530518624058,1.93581062140775,2.68184744791266,8513.01825832022,0.999764884471776
"theta_pred[116]",1.56203909214865,0.00615217536905157,0.566979678895966,0.467019167880267,1.17863306566986,1.56200304772172,1.93529780548394,2.6895797005912,8493.32169861451,0.999765364987602
"lp__",-150.5362073899,0.0168515266696246,1.22057939794225,-153.685632257292,-151.117922901329,-150.22774167682,-149.638018167748,-149.131631986391,5246.30537739643,1.00046974190494
